CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
01,Angers 1,101,HOTEL DE VILLE,1065,436,3,10,423,11,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,67,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,135,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,119,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,60,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,42,,,,
01,Angers 1,102,HOTEL DE VILLE,1204,525,4,14,507,12,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,54,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,223,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,125,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,65,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,40,,,,
01,Angers 1,103,SALONS CURNONSKY-WELCOME,1100,436,6,15,415,13,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,64,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,134,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,136,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,48,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,33,,,,
01,Angers 1,104,SALONS CURNONSKY - WELCOME,1186,607,6,19,582,20,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,58,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,286,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,127,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,74,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,37,,,,
01,Angers 1,105,ECOLE PRIMAIRE DE LA BLANCHERAIE,1277,694,9,18,667,12,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,72,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,305,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,143,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,100,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,47,,,,
01,Angers 1,106,ECOLE PRIMAIRE DE LA BLANCHERAIE,962,483,6,10,467,7,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,61,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,206,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,116,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,53,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,31,,,,
01,Angers 1,107,LYCEE DAVID D'ANGERS,1031,507,0,9,498,31,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,33,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,306,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,87,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,50,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,22,,,,
01,Angers 1,108,LYCEE DAVID D'ANGERS,940,536,4,15,517,15,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,40,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,280,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,120,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,54,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,23,,,,
01,Angers 1,109,LYCEE DAVID D'ANGERS,981,574,4,9,561,30,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,43,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,334,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,105,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,60,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,19,,,,
01,Angers 1,110,ECOLE CONDORCET,1246,639,5,15,619,20,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,71,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,305,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,131,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,66,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,46,,,,
