CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
01,Angers 1,101,HOTEL DE VILLE,1065,420,7,20,393,10,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,177,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,216,,,,,,,,,,,,,,,,
01,Angers 1,102,HOTEL DE VILLE,1204,506,13,34,459,9,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,276,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,183,,,,,,,,,,,,,,,,
01,Angers 1,103,SALONS CURNONSKY-WELCOME,1100,398,4,17,377,13,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,182,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,195,,,,,,,,,,,,,,,,
01,Angers 1,104,SALONS CURNONSKY - WELCOME,1186,579,9,21,549,22,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,367,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,182,,,,,,,,,,,,,,,,
01,Angers 1,105,ECOLE PRIMAIRE DE LA BLANCHERAIE,1277,650,14,24,612,15,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,376,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,236,,,,,,,,,,,,,,,,
01,Angers 1,106,ECOLE PRIMAIRE DE LA BLANCHERAIE,962,475,9,19,447,13,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,255,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,192,,,,,,,,,,,,,,,,
01,Angers 1,107,LYCEE DAVID D'ANGERS,1031,505,4,21,480,30,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,358,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,122,,,,,,,,,,,,,,,,
01,Angers 1,108,LYCEE DAVID D'ANGERS,939,507,8,14,485,19,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,333,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,152,,,,,,,,,,,,,,,,
01,Angers 1,109,LYCEE DAVID D'ANGERS,981,540,5,18,517,30,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,375,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,142,,,,,,,,,,,,,,,,
01,Angers 1,110,ECOLE CONDORCET,1246,609,9,21,579,21,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,348,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,231,,,,,,,,,,,,,,,,
